#                     Fission barriers calculated with the ETFSI model 
#  Z   A El      cin      hin      ain      Bin     Bexp      cout     hout     aout     Bout    Bexp
#                                          [MeV]    [MeV]                               [MeV]    [MeV]
#-----------------------------------------------------------------------------------------------------
  83 224 Bi      1.25     0.01     0.00     4.20              1.90     0.07     0.62    19.30         
  83 225 Bi      1.25     0.01     0.00     4.10              1.91     0.07     0.62    20.10         
  83 226 Bi      1.25     0.00     0.00     4.10              1.91     0.06     0.60    19.60         
  83 227 Bi      1.26     0.01     0.00     3.10              1.93     0.07     0.62    20.30         
  83 228 Bi      1.26     0.01     0.00     4.00              1.94     0.06     0.62    20.70         
  83 229 Bi      1.26     0.02     0.00     4.10              1.98    -0.01     0.53    20.80         
  83 230 Bi      1.27     0.02     0.00     4.50              1.98     0.00     0.55    20.70         
  83 231 Bi      1.28     0.02     0.00     4.30              1.98     0.00     0.55    20.90         
  83 232 Bi      1.27     0.02     0.00     4.80              1.97    -0.01     0.53    20.50         
  83 233 Bi      1.28     0.02     0.00     4.50              2.05    -0.02     0.55    21.70         
  83 234 Bi      1.28     0.04     0.00     5.30              2.06    -0.01     0.53    22.30         
  83 235 Bi      1.29     0.04     0.00     4.70              2.09    -0.06     0.50    22.70         
  83 236 Bi      1.30     0.05     0.00     5.00              2.10    -0.06     0.50    23.10         
  83 237 Bi      1.31     0.06     0.00     4.50              2.11    -0.05     0.53    23.30         
  83 238 Bi      1.31     0.06     0.00     5.00              2.11    -0.06     0.47    24.10         
  83 239 Bi      1.32     0.07     0.00     4.60              2.12    -0.06     0.47    24.50         
  83 240 Bi      1.36    -0.02     0.00     4.80              2.16    -0.10     0.50    24.20         
  83 241 Bi      1.29    -0.11     0.00     2.50              2.12    -0.09     0.55    23.40         
  83 242 Bi                                                   2.13    -0.09     0.53    23.60         
  83 243 Bi                                                   2.13    -0.09     0.53    23.70         
  83 244 Bi      1.29    -0.08     0.00     2.60              2.12    -0.09     0.55    23.50         
  83 246 Bi                                                   2.18    -0.10     0.47    24.90         
  83 247 Bi      1.21    -0.05     0.00     3.20              2.13    -0.09     0.50    24.70         
  83 248 Bi      1.20    -0.04     0.00     3.60              2.18    -0.10     0.47    26.00         
  83 249 Bi      1.20    -0.05     0.00     4.50              2.13    -0.09     0.47    25.90         
  83 250 Bi      1.20    -0.05     0.00     5.20              2.13    -0.09     0.47    26.30         
  83 251 Bi      1.20    -0.06     0.00     6.20              2.18    -0.10     0.45    29.00         
  83 252 Bi      1.19     0.03     0.00     6.10              2.13    -0.09     0.47    28.20         
  83 253 Bi      1.19     0.03     0.00     7.30              2.13    -0.09     0.45    29.70         
  83 254 Bi      1.18     0.05     0.00     8.20              1.83     0.16     0.00    30.30         
  83 255 Bi      1.18     0.05     0.00     9.10              1.83     0.10     0.00    30.90         
  83 256 Bi      1.18     0.02     0.00    10.10              2.13    -0.09     0.43    32.50         
  83 258 Bi      1.18     0.04     0.00    11.90              1.88     0.07     0.00    32.50         
  83 259 Bi      1.17     0.07     0.00    12.80              1.89     0.07     0.00    33.20         
  83 260 Bi      1.17     0.06     0.00    13.70              1.87     0.07     0.00    33.30         
  83 261 Bi      1.17     0.07     0.00    14.50              1.91     0.08     0.00    34.40         
  83 262 Bi      1.17     0.07     0.00    15.80              1.91     0.08     0.00    35.40         
  83 263 Bi      1.17     0.07     0.00    16.40              1.92     0.08     0.00    36.90         
  83 264 Bi      1.22    -0.09     0.07    18.10              1.92     0.08     0.00    38.10         
  83 265 Bi      1.22    -0.09     0.00    18.50              1.92     0.07     0.00    39.50         
  83 266 Bi      1.22    -0.09     0.00    20.10              1.93     0.08     0.00    41.40         
  83 267 Bi      1.22    -0.09     0.00    20.30              1.99    -0.02     0.00    42.10         
  84 207 Po      1.22    -0.05     0.00    14.50              2.13    -0.18     0.00    21.20    19.30
  84 208 Po      1.22    -0.05     0.00    15.10              2.12    -0.18     0.00    22.20    19.90
  84 209 Po      1.22    -0.05     0.02    16.80              2.12    -0.18     0.00    23.90    21.10
  84 210 Po      1.22    -0.06     0.00    17.10              2.12    -0.19     0.00    25.50    21.20
  84 211 Po      1.22    -0.06     0.00    16.70              2.13    -0.18     0.00    24.20    20.60
  84 212 Po      1.22    -0.06     0.00    14.90              2.12    -0.19     0.00    23.60    19.60
  84 213 Po      1.22    -0.06     0.00    14.80              2.11    -0.18     0.00    23.40         
  84 214 Po      1.22    -0.05     0.00    13.40              2.11    -0.18     0.00    22.50         
  84 215 Po      1.22    -0.05     0.00    12.40              2.11    -0.18     0.00    21.60         
  84 216 Po      1.22    -0.04     0.00    11.20              2.11    -0.18     0.00    20.90         
  84 217 Po      1.23    -0.04     0.00    10.20              2.11    -0.18     0.00    20.00         
  84 218 Po      1.23    -0.03     0.00     9.00              2.11    -0.19     0.00    19.40         
  84 219 Po      1.23    -0.03     0.00     8.00              2.11    -0.19     0.00    18.50         
  84 220 Po      1.23    -0.02     0.00     7.10              2.29    -0.18     0.00    18.30         
  84 221 Po      1.24    -0.01     0.00     5.90              2.29    -0.18     0.00    17.20         
  84 222 Po      1.24    -0.01     0.00     5.50              2.29    -0.18     0.00    17.60         
  84 223 Po      1.25     0.00     0.00     3.70              2.28    -0.19     0.00    16.60         
  84 224 Po      1.24     0.00     0.00     3.70              2.28    -0.18     0.00    16.80         
  84 225 Po      1.25     0.00     0.00     4.10              2.28    -0.18     0.00    17.40         
  84 226 Po      1.26     0.01     0.00     3.90              2.28    -0.18     0.00    17.80         
  84 227 Po      1.26     0.02     0.00     4.20              1.91     0.06     0.60    17.90         
  84 228 Po      1.26     0.01     0.00     3.90              2.28    -0.18     0.00    18.70         
  84 229 Po      1.27     0.02     0.00     4.40              1.94     0.06     0.60    18.90         
  84 230 Po      1.27     0.02     0.00     4.20              1.98    -0.01     0.50    19.20         
  84 231 Po      1.27     0.02     0.00     4.60              1.97    -0.01     0.53    18.60         
  84 232 Po      1.27     0.03     0.00     4.70              1.97    -0.01     0.53    18.90         
  84 233 Po      1.28     0.04     0.00     5.40              1.97    -0.01     0.53    18.80         
  84 234 Po      1.29     0.03     0.00     4.90              2.05    -0.02     0.53    19.90         
  84 235 Po      1.29     0.05     0.00     5.40              1.99    -0.01     0.53    19.30         
  84 236 Po      1.29     0.05     0.00     5.00              2.09    -0.06     0.50    20.70         
  84 237 Po      1.30     0.05     0.00     5.30              2.10    -0.06     0.50    20.90         
  84 238 Po      1.31     0.05     0.00     4.80              2.11    -0.05     0.53    21.20         
  84 239 Po      1.31     0.05     0.00     5.40              2.11    -0.06     0.47    22.00         
  84 240 Po      1.31     0.06     0.00     5.10              2.12    -0.05     0.50    22.30         
  84 241 Po      1.39    -0.11     0.00     5.00              2.16    -0.10     0.50    22.00         
  84 242 Po      1.36    -0.04     0.00     4.50              2.13    -0.09     0.50    21.60         
  84 243 Po      1.37    -0.04     0.00     4.70              2.13    -0.09     0.53    21.40         
  84 244 Po                                                   2.13    -0.09     0.53    21.50         
  84 245 Po                                                   2.12    -0.09     0.55    21.30         
  84 246 Po      1.39     0.02     0.00     5.20              2.12    -0.09     0.53    21.50         
  84 247 Po                                                   2.12    -0.09     0.55    21.50         
  84 248 Po                                                   2.13    -0.09     0.50    22.10         
  84 249 Po                                                   2.13    -0.09     0.50    22.30         
  84 250 Po      1.38     0.04     0.00     6.60              2.13    -0.09     0.50    23.50         
  84 251 Po      1.38     0.03     0.00     7.20              2.13    -0.09     0.47    23.80         
  84 252 Po                                                   2.13    -0.09     0.47    24.80         
  84 253 Po                                                   2.13    -0.09     0.47    25.40         
  84 254 Po                                                   2.13    -0.09     0.45    26.90         
  84 255 Po                                                   2.13    -0.09     0.45    27.20         
  84 256 Po                                                   2.13    -0.09     0.45    28.90         
  84 257 Po                                                   2.13    -0.09     0.43    29.50         
  84 258 Po                                                   1.89     0.07     0.00    29.30         
  84 259 Po      1.18     0.07     0.00    10.80              1.88     0.06     0.00    30.00         
  84 260 Po      1.17     0.06     0.00    11.60              1.90     0.07     0.00    30.10         
  84 261 Po      1.17     0.05     0.00    12.70              1.87     0.07     0.00    30.50         
  84 262 Po      1.22    -0.08     0.13    13.80              1.92     0.08     0.00    31.80         
  84 263 Po      1.22    -0.09     0.07    15.00              1.91     0.07     0.00    32.20         
  84 264 Po      1.22    -0.10     0.00    15.50              1.92     0.07     0.00    34.00         
  84 265 Po      1.22    -0.09     0.09    16.80              1.93     0.08     0.00    35.50         
  84 266 Po      1.22    -0.09     0.02    17.30              1.93     0.08     0.00    37.30         
  84 267 Po      1.22    -0.10     0.00    18.90              1.92     0.08     0.00    38.70         
  84 268 Po      1.22    -0.09     0.00    19.00              1.99    -0.01     0.00    39.00         
  85 209 At      1.22    -0.06     0.00    14.40              2.13    -0.18     0.00    19.90         
  85 210 At      1.22    -0.06     0.00    16.10              2.13    -0.18     0.00    21.60         
  85 211 At      1.22    -0.07     0.00    16.00              2.12    -0.17     0.00    22.00         
  85 212 At      1.22    -0.07     0.00    15.30              2.13    -0.18     0.00    20.70    18.60
  85 213 At      1.22    -0.07     0.00    13.50              2.12    -0.18     0.00    19.70    17.30
  85 214 At      1.22    -0.07     0.00    13.40              2.11    -0.18     0.00    20.00         
  85 215 At      1.22    -0.06     0.00    12.10              2.11    -0.18     0.00    19.30         
  85 216 At      1.23    -0.05     0.00    11.20              2.11    -0.18     0.00    18.40         
  85 217 At      1.22    -0.05     0.00     9.90              2.11    -0.18     0.00    17.70         
  85 218 At      1.23    -0.05     0.00     8.90              2.11    -0.18     0.00    16.90         
  85 219 At      1.23    -0.03     0.00     7.90              2.11    -0.18     0.00    16.30         
  85 220 At      1.23    -0.03     0.00     6.90              2.11    -0.18     0.00    15.50         
  85 221 At      1.23    -0.03     0.00     6.30              2.11    -0.19     0.00    15.40         
  85 222 At      1.24    -0.02     0.00     5.70              2.10    -0.18     0.00    15.10         
  85 223 At      1.23    -0.02     0.00     5.10              2.11    -0.19     0.00    14.90         
  85 224 At      1.24    -0.01     0.00     4.50              2.11    -0.19     0.00    14.80         
  85 225 At      1.25     0.00     0.00     4.00              2.28    -0.18     0.00    14.70         
  85 226 At      1.25     0.00     0.00     3.80              2.28    -0.18     0.00    14.80         
  85 227 At      1.26     0.01     0.00     3.80              2.28    -0.18     0.00    15.20         
  85 228 At      1.26     0.01     0.00     3.90              2.28    -0.18     0.00    15.60         
  85 229 At      1.27     0.02     0.00     3.90              1.94     0.05     0.60    16.30         
  85 230 At      1.26     0.02     0.00     4.00              1.94     0.03     0.58    16.00         
  85 231 At      1.27     0.02     0.00     4.00              1.97    -0.01     0.53    16.70         
  85 232 At      1.28     0.03     0.00     4.80              1.96     0.01     0.58    16.50         
  85 233 At      1.28     0.04     0.00     4.70              1.97    -0.01     0.53    16.70         
  85 234 At      1.29     0.05     0.00     5.00              1.93    -0.03     0.53    17.30         
  85 235 At      1.29     0.05     0.00     4.90              1.93    -0.03     0.53    17.20         
  85 236 At      1.29     0.05     0.00     5.10              1.92    -0.04     0.55    17.50         
