#           Level density parameters for the EGSM model
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da     a-asym   -da    a_sys
#                [MeV]    [keV]         [keV]         [MeV]         [1/MeV] [1/MeV] [1/MeV]
#-----------------------------------------------------------------------------------------------------
  34  77 Se   .0  7.418    .65000E+00    .10000E+00    .41500E+01   .1831  7.9447   .1555   7.967
  34  78 Se   .5 10.498    .12000E+00    .15000E-01    .35080E+01   .1160  7.7090   .1023   7.549
  34  79 Se   .0  6.962    .15000E+01    .30000E+00    .35080E+01   .2479  7.4994   .1959   7.861
  34  81 Se   .0  6.701    .24000E+01    .80000E+00    .21510E+01   .4345  7.0629   .2937   7.303
  34  83 Se   .0  5.818    .50000E+01    .25000E+01    .85400E+00   .8226  6.8636   .4449   6.763
  35  80 Br  1.5  7.892    .47000E-01    .50000E-02    .36930E+01   .1011  7.9348   .0903   7.903
  35  82 Br  1.5  7.593    .10000E+00    .15000E-01    .22790E+01   .1379  7.3567   .1166   7.393
  36  79 Kr   .0  8.353    .25000E+00    .80000E-01    .40620E+01   .3920  8.1513   .2730   7.423
  36  81 Kr   .0  7.872    .28000E+00    .80000E-01    .36570E+01   .3718  8.4963   .2693   7.452
  36  84 Kr  4.5 10.520    .20000E+00    .10000E+00    .14000E+01   .5248  6.1035   .2967   6.527
  36  85 Kr   .0  7.121    .40000E+01    .40000E+00    .82900E+00   .0899  6.1787   .0792   6.384
  36  87 Kr   .0  5.515    .29000E+02    .15000E+01   -.10600E+00   .0481  5.2155   .0435   6.037
  37  86 Rb  2.5  8.650    .17200E+00    .80000E-02    .16100E+00   .0348  6.0956   .0311   5.940
  37  88 Rb  1.5  6.082    .16300E+01    .15000E+00   -.39200E+00   .0729  5.6564   .0654   5.810
  38  85 Sr   .0  8.530    .32000E+00    .12000E+00    .22030E+01   .4352  7.7089   .2825   6.850
  38  87 Sr   .0  8.427    .26000E+01    .80000E+00    .18200E+00   .2703  5.9309   .1930   6.039
  38  88 Sr  4.5 11.113    .29000E+00    .80000E-01   -.13690E+01   .2235  5.4456   .1666   5.421
  38  89 Sr   .0  6.358    .23700E+02    .29000E+01   -.87400E+00   .0978  4.9938   .0830   5.622
  39  90 Y    .5  6.857    .37000E+01    .40000E+00   -.11630E+01   .0793  5.2438   .0704   5.249
  40  91 Zr   .0  7.194    .60000E+01    .14000E+01   -.10460E+01   .2030  5.7186   .1566   5.396
  40  92 Zr  2.5  8.635    .55000E+00    .10000E+00    .11500E+00   .1694  6.2793   .1379   6.032
  40  93 Zr   .0  6.733    .35000E+01    .80000E+00    .53400E+00   .2488  6.5354   .1897   6.317
  40  94 Zr  2.5  8.220    .30200E+00    .75000E-01    .14120E+01   .3061  7.2483   .2289   6.840
  40  95 Zr   .0  6.463    .40000E+01    .80000E+00    .14470E+01   .2349  6.7494   .1855   6.951
  40  97 Zr   .0  5.579    .13000E+02    .30000E+01    .23310E+01   .3180  6.4150   .2404   7.653
  41  94 Nb  4.5  7.227    .94000E-01    .10000E-01    .69200E+00   .0963  6.9925   .0854   6.990
  42  93 Mo   .0  8.070    .27000E+01    .50000E+00   -.15260E+01   .1499  5.9599   .1228   5.992
  42  95 Mo   .0  7.369    .13200E+01    .18000E+00    .26600E+00   .1360  7.0177   .1157   7.120
  42  96 Mo  2.5  9.154    .81000E-01    .14000E-01    .11260E+01   .1892  7.8069   .1557   7.684
  42  97 Mo   .0  6.821    .10500E+01    .20000E+00    .17340E+01   .2460  7.9332   .1971   8.181
  42  98 Mo  2.5  8.642    .60000E-01    .10000E-01    .24250E+01   .2198  8.8420   .1829   8.652
  42  99 Mo   .0  5.925    .10000E+01    .20000E+00    .32890E+01   .3330  9.5759   .2660   9.450
  43 100 Tc  4.5  6.764    .14000E-01    .12000E-02    .29900E+01   .1134  9.8175   .1034   9.828
  44 100 Ru  2.5  9.673    .25000E-01    .40000E-02    .13830E+01   .1796  8.6267   .1504   8.825
  44 101 Ru   .0  6.802    .34500E+00    .60000E-01    .22700E+01   .2537  9.4722   .2087   9.622
  44 102 Ru  2.5  9.219    .18000E-01    .30000E-02    .26060E+01   .2220  9.6378   .1835   9.840
  44 103 Ru   .0  6.232    .28000E+00    .50000E-01    .34380E+01   .3069 11.0404   .2495  10.738
