# Level density parameters for EGSM, Gilbert & Cameron (EMPIRE) and GSM (RIPL-2) models (2I4,1x,a2,f4.1,1x,F7.3,3E14.5,5f8.4,I4,1x,5(f8.3))
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da    a-EGSM    -da   a_sys   a-G&C   Nc     om2    DelO     aas     aerr   shift 
#                [MeV]    [keV]         [keV]         [MeV]        [1/MeV] [1/MeV] [1/MeV] [1/MeV] [1/MeV]       [MeV]   [MeV]  [1/MeV]  [1/MeV] [MeV] 
#-----------------------------------------------------------------------------------------------------------------------------------------------------
  29  64 Cu  1.5  7.916    .70000E+00    .90000E-01    .41500E+00   .0983  5.4196   .0860  4.9450  8.7300  30    1.169   1.500   4.628    .101    .483   
  29  66 Cu  1.5  7.067    .13000E+01    .11000E+00    .14600E+01   .0641  5.3530   .0587  5.5380  9.1600  30    1.231   1.477   4.873    .112    .418   
  30  65 Zn   .0  7.979    .23000E+01    .30000E+00    .12690E+01   .1089  6.0712   .0946  5.3940  9.5100  30    1.016   1.488   4.672    .051   1.114   
  30  67 Zn   .0  7.052    .46200E+01    .55000E+00    .24340E+01   .1092  6.0571   .0954  6.1270  9.9000  30    1.058   1.466   4.833    .161   1.300   
  30  68 Zn  2.5 10.198    .37000E+00    .20000E-01    .24770E+01   .0424  6.0796   .0401  6.1300  9.8800  30    1.077   1.455   4.652    .150   1.168   
  30  69 Zn   .0  6.482    .55600E+01    .43000E+00    .31040E+01   .0796  6.3141   .0726  6.6780 10.3500  15     .981   1.445   5.223    .135   1.015   
  30  71 Zn   .0  5.834    .65200E+01    .42000E+00    .36230E+01   .0796  6.8558   .0738  7.2030 11.7300  10     .769   1.424   7.208    .487    .151   
  31  70 Ga  1.5  7.654    .31600E+00    .41000E-01    .28400E+01   .1056  6.2911   .0921  6.4430 10.3400  30     .962   1.434   5.271    .201    .269   
  31  72 Ga  1.5  6.520    .38000E+00    .60000E-01    .37890E+01   .1530  6.7757   .1281  7.1590 11.1300  30     .743   1.414   5.204    .186    .480   
  32  71 Ge   .0  7.416    .11700E+01    .23000E+00    .37750E+01   .2207  7.2557   .1765  7.1090 11.0600  30     .937   1.424   5.828    .319   1.622   
  32  73 Ge   .0  6.782    .15000E+01    .30000E+00    .41850E+01   .2581  7.6164   .2058  7.5840 11.8900  30     .715   1.404   5.127    .232   1.391   
  32  74 Ge  4.5 10.196    .62000E-01    .15000E-01    .35800E+01   .2551  7.5161   .1943  7.1650 11.2600  30     .596   1.395   5.680    .219    .708   
  32  75 Ge   .0  6.505    .30000E+01    .10000E+01    .36960E+01   .4654  7.1476   .3155  7.5500 11.6100  30     .580   1.386   4.861    .342    .653   
  32  77 Ge   .0  6.072    .45000E+01    .10000E+01    .28060E+01   .2951  7.0184   .2285  7.2910 11.4100  10     .591   1.368   5.206    .439    .467   
  33  76 As  1.5  7.328    .90000E-01    .80000E-02    .40430E+01   .0847  7.6328   .0770  7.5850 11.9500  30     .561   1.376   6.106    .117    .260   
  34  75 Se   .0  8.028    .34000E+00    .80000E-01    .42360E+01   .2805  8.1055   .2152  7.6570 12.3700  30     .597   1.386   5.845    .244   1.020   
