     0.399     0.000     0.192     3.055
     0.427     0.000     0.208     4.072
     0.456     0.000     0.185     4.687
     0.486     0.000     0.184     5.177
     0.517     0.000     0.140     5.394
     0.553     0.000     0.119     5.300
     0.587     0.000     0.168     4.728
     0.620     0.000     0.193     4.512
     0.652     0.000     0.222     3.898
     0.683     0.000     0.286     3.384
     0.715     0.000     0.308     2.949
     0.747     0.000     0.360     2.719
     0.779     0.000     0.445     2.247
     0.811     0.000     0.506     1.847
     0.840     0.000     0.551     1.740
     0.869     0.000     0.596     1.762
     0.896     0.000     0.644     1.778
     0.922     0.000     0.687     2.037
     0.947     0.000     0.748     2.281
     0.973     0.000     0.785     2.475
     1.000     0.000     0.887     2.777
     1.024     0.000     0.935     3.147
     1.065    -0.158     1.039     4.274
     1.090    -0.164     1.094     4.423
     1.111    -0.172     1.158     4.944
     1.132    -0.178     1.207     5.217
     1.153    -0.189     1.249     5.250
     1.173    -0.360     1.267     5.536
     1.192    -0.373     1.296     5.510
     1.210    -0.387     1.322     5.532
     1.234    -0.403     1.357     5.481
     1.255    -0.417     1.382     5.434
     1.276    -0.429     1.403     5.335
     1.295    -0.440     1.419     5.325
     1.313    -0.450     1.445     5.009
     1.336    -0.463     1.477     4.914
     1.361    -0.478     1.512     4.850
     1.385    -0.492     1.552     4.710
     1.407    -0.501     1.575     4.626
     1.429    -0.511     1.611     4.599
     1.458    -0.524     1.676     4.357
     1.481    -0.533     1.727     4.322
     1.509    -0.654     1.851     4.216
     1.539    -0.674     1.918     4.343
     1.568    -0.692     1.978     4.094
     1.600    -0.707     2.049     3.941
     1.631    -0.724     2.117     3.765
     1.663    -0.740     2.190     3.587
     1.696    -0.759     2.266     3.506
     1.729    -0.774     2.349     3.330
     1.764    -0.789     2.442     3.182
     1.797    -0.808     2.529     3.053
     1.831    -0.827     2.622     2.972
     1.865    -0.848     2.702     2.862
     1.901    -0.870     2.788     2.701
     1.935    -0.891     2.871     2.567
     2.006    -0.933     3.026     2.326
     2.043    -0.957     3.097     2.180
     2.078    -0.979     3.167     2.096
     2.112    -1.001     3.267     1.927
     2.146    -1.024     3.379     1.825
     2.178    -1.042     3.478     1.702
     2.209    -1.061     3.578     1.654
     2.240    -1.078     3.643     1.486
     2.274    -1.093     3.705     1.425
     2.310    -1.103     3.765     1.414
     2.339    -1.091     3.782     1.334
     2.365    -1.115     3.885     1.374
     2.389    -1.148     4.017     1.173
     2.412    -1.165     4.116     1.209
     2.432    -1.178     4.201     1.159
     2.449    -1.187     4.272     1.049
     2.477    -1.183     4.390     0.844
     2.505    -1.196     4.467     0.687
     2.531    -1.209     4.543     0.718
     2.556    -1.226     4.637     0.760
     2.582    -1.240     4.719     0.561
     2.607    -1.253     4.792     0.442
     2.630    -1.265     4.864     0.403
     2.650    -1.277     4.936     0.359
     2.674    -1.301     5.022     0.253
     2.700    -1.318     5.112     0.182
     2.725    -1.335     5.204     0.110
    10.009     9.999     9.999     0.000
  93 237  89   -1792.457
     0.294     0.000     0.168     0.000
     0.323     0.000     0.196     0.597
     0.351     0.000     0.215     1.537
     0.379     0.000     0.201     2.555
     0.407     0.000     0.214     3.678
     0.436     0.000     0.196     4.731
     0.465     0.000     0.151     5.333
     0.496     0.000     0.166     5.628
     0.525     0.000     0.154     5.699
     0.557     0.000     0.151     5.555
     0.588     0.000     0.183     5.242
     0.621     0.000     0.199     4.866
     0.652     0.000     0.240     4.301
     0.683     0.000     0.270     3.745
     0.715     0.000     0.308     3.257
     0.747     0.000     0.388     2.813
     0.778     0.000     0.429     2.315
     0.809     0.000     0.500     1.908
     0.840     0.000     0.557     1.620
     0.870     0.000     0.606     1.444
     0.900     0.000     0.659     1.555
     0.927     0.000     0.709     1.832
     0.954     0.000     0.754     2.194
     0.980     0.000     0.826     2.507
     1.005     0.000     0.898     2.908
     1.028     0.000     0.917     3.356
     1.064    -0.158     1.039     4.140
     1.085    -0.164     1.101     4.544
     1.104    -0.167     1.153     4.731
     1.127    -0.176     1.202     4.936
     1.153    -0.353     1.227     5.401
     1.175    -0.371     1.262     5.658
     1.199    -0.383     1.303     5.395
     1.223    -0.401     1.341     5.408
     1.244    -0.417     1.373     5.463
     1.266    -0.432     1.402     5.516
     1.286    -0.444     1.423     5.428
     1.306    -0.455     1.450     5.277
     1.325    -0.465     1.473     5.122
     1.348    -0.477     1.495     5.068
     1.371    -0.487     1.515     4.971
     1.394    -0.498     1.542     4.832
     1.415    -0.506     1.578     4.696
     1.438    -0.516     1.630     4.528
     1.460    -0.525     1.675     4.444
     1.483    -0.535     1.728     4.277
     1.508    -0.543     1.779     4.297
     1.534    -0.554     1.839     4.253
     1.563    -0.575     1.909     3.988
     1.595    -0.695     2.041     3.788
     1.624    -0.713     2.125     3.632
     1.656    -0.730     2.218     3.461
     1.689    -0.748     2.296     3.284
     1.724    -0.765     2.373     3.176
     1.758    -0.785     2.448     3.005
     1.792    -0.804     2.526     2.891
     1.826    -0.827     2.592     2.975
     1.862    -0.846     2.674     2.809
     1.898    -0.866     2.752     2.637
     1.931    -0.891     2.819     2.700
     1.967    -0.913     2.909     2.546
     2.002    -0.935     2.985     2.545
     2.038    -0.956     3.073     2.345
     2.074    -0.978     3.173     2.195
     2.109    -0.999     3.270     2.087
     2.146    -1.024     3.391     1.902
     2.180    -1.047     3.501     1.744
     2.214    -1.069     3.598     1.599
     2.248    -1.089     3.685     1.477
     2.280    -1.106     3.765     1.345
     2.309    -1.123     3.847     1.246
     2.337    -1.138     3.928     1.129
     2.362    -1.152     4.012     1.035
     2.392    -1.169     4.112     0.933
     2.412    -1.180     4.182     0.918
     2.429    -1.189     4.242     0.874
     2.461    -1.203     4.342     0.689
     2.489    -1.216     4.420     0.627
     2.515    -1.228     4.494     0.628
     2.539    -1.243     4.581     0.589
     2.559    -1.254     4.648     0.492
     2.585    -1.266     4.718     0.367
     2.609    -1.275     4.786     0.301
     2.631    -1.291     4.858     0.223
     2.657    -1.303     4.931     0.145
     2.684    -1.313     5.004     0.054
     2.708    -1.322     5.068     0.005
     2.706    -1.342     5.139     0.043
    10.009     9.999     9.999     0.000
  93 238  79   -1797.957
     0.298     0.000     0.166     0.000
     0.327     0.000     0.185     0.590
