#
#  Z   A           Ex     J  P L       beta  Reference                       A Z
#                [MeV]
#-------------------------------------------------------------------------------
  28  60 Ni   4.039000  3.0 -1 3   0.120000  JENDL-3.2                      60Ni
  28  60 Ni   4.040000  3.0 -1 3   0.208098  Spear                          60Ni
  28  61 Ni   0.067413  2.5 -1 2   0.267188  ENSDF(Q)                       61Ni
  28  61 Ni   0.908600  2.5 -1 2   0.160000  JENDL-3.2                      61Ni
  28  61 Ni   1.015200  3.5 -1 2   0.160000  JENDL-3.2                      61Ni
  28  61 Ni   1.099600  1.5 -1 2   0.160000  JENDL-3.2                      61Ni
  28  61 Ni   1.132300  2.5 -1 2   0.160000  JENDL-3.2                      61Ni
  28  61 Ni   1.185200  1.5 -1 2   0.160000  JENDL-3.2                      61Ni
  28  62 Ni   1.172900  2.0  1 2   0.200000  JENDL-3.2                      62Ni
  28  62 Ni   1.172910  2.0  1 2   0.196735  ENSDF(BE2)                     62Ni
  28  62 Ni   1.173050  2.0  1 2   0.197850  Raman                          62Ni
  28  62 Ni   3.756600  3.0 -1 3   0.140000  JENDL-3.2                      62Ni
  28  62 Ni   3.757000  3.0 -1 3   0.197967  Spear                          62Ni
  28  63 Ni   0.517600  1.5 -1 2   0.160000  JENDL-3.2                      63Ni
  28  63 Ni   1.001100  0.5 -1 2   0.160000  JENDL-3.2                      63Ni
  28  63 Ni   1.256000  2.5 -1 2   0.160000  JENDL-3.2                      63Ni
  28  64 Ni   1.345750  2.0  1 2   0.175432  ENSDF(BE2)                     64Ni
  28  64 Ni   1.345750  2.0  1 2  -0.261830  ENSDF(Q)                       64Ni
  28  64 Ni   1.345900  2.0  1 2   0.179001  Raman                          64Ni
  28  64 Ni   3.275980  2.0  1 2   0.033108  ENSDF(BE2)                     64Ni
  28  64 Ni   3.560000  3.0 -1 3   0.176373  Spear                          64Ni
  28  64 Ni   3.560400  3.0 -1 3   0.238170  ENSDF(BE3)                     64Ni
  28  64 Ni   4.573140  2.0  1 2   0.023411  ENSDF(BE2)                     64Ni
  28  64 Ni   4.640670  2.0  1 2   0.036152  ENSDF(BE2)                     64Ni
  28  64 Ni   4.991000  2.0  1 2   0.036152  ENSDF(BE2)                     64Ni
  28  64 Ni   5.370000  3.0 -1 3   0.066269  ENSDF(BE3)                     64Ni
  28  64 Ni   5.408000  2.0  1 2   0.039496  ENSDF(BE2)                     64Ni
  28  64 Ni   5.484000  0.0 -1 3   0.038261  ENSDF(BE3)                     64Ni
  28  64 Ni   5.817000  3.0 -1 3   0.039899  ENSDF(BE3)                     64Ni
  28  64 Ni   6.018000  3.0 -1 3   0.050614  ENSDF(BE3)                     64Ni
  28  64 Ni   6.116000  3.0 -1 3   0.050614  ENSDF(BE3)                     64Ni
  29  63 Cu   0.669600  0.5 -1 2   0.200000  JENDL-3.2                      63Cu
  29  63 Cu   0.962100  2.5 -1 2   0.220000  JENDL-3.2                      63Cu
  29  63 Cu   1.327100  3.5 -1 2   0.200000  JENDL-3.2                      63Cu
