#  Fit of EGSM a-parameter to experimental Do
#  Clasic vibr enhan., RIPL-3 Do & Shell corr.
#  Z  A  Sym  J   Qn         Dobs          dDobs        Shell         Def          Dcalc        +da_exp  a_exp -da_exp  a_sys    a_exp/a_sys
#------------------------------------------------------------------------------------------------------------------------------------------
  82 205 Pb   .0  6.732    .21000E+01    .20000E+00   -.84600E+01   -.18000E-01    .21000E+01     .0796  6.3977   .0713   6.402    .999
  82 207 Pb   .0  6.738    .30000E+02    .60000E+01   -.10547E+02   -.80000E-02    .30000E+02     .1300  4.5468   .1052   4.436   1.025
  82 208 Pb   .5  7.368    .30000E+02    .80000E+01   -.10998E+02    .00000E+00    .29999E+02     .1764  4.1876   .1332   3.896   1.075
  82 209 Pb   .0  3.937    .90000E+02    .15000E+02   -.96870E+01   -.80000E-02    .90007E+02     .1537  4.4393   .1236   4.028   1.102
  83 210 Bi  4.5  4.604    .44500E+01    .40000E+00   -.86070E+01   -.18000E-01    .44501E+01     .0631  4.6650   .0568   5.928    .787
  90 229 Th   .0  5.253    .50000E-02    .30000E-02    .23790E+01    .19000E+00    .50003E-02    2.3484 23.4164  1.1657  20.247   1.157
  90 230 Th  2.5  6.794    .62000E-03    .12000E-03    .23200E+01    .19800E+00    .62002E-03     .4752 20.7485   .3873  20.158   1.029
  91 232 Pa  1.5  5.549    .51000E-03    .30000E-04    .20910E+01    .20700E+00    .50996E-03     .1279 20.5378   .1205  19.993   1.027
  91 233 Pa  2.0  6.529    .42000E-03    .80000E-04    .22660E+01    .20700E+00    .42003E-03     .4352 19.8851   .3557  20.277    .981
  91 234 Pa  1.5  5.220    .78000E-03    .10000E-03    .21630E+01    .21500E+00    .78002E-03     .3032 20.9996   .2651  20.291   1.035
  92 233 U    .0  5.762    .46000E-02    .50000E-03    .16990E+01    .20700E+00    .45998E-02     .2575 20.8387   .2301  19.629   1.062
  92 234 U   2.5  6.845    .52000E-03    .20000E-04    .17440E+01    .21500E+00    .51998E-03     .0851 20.6471   .0819  19.741   1.046
  92 235 U    .0  5.298    .11200E-01    .80000E-03    .17680E+01    .21500E+00    .11201E-01     .1754 20.9323   .1623  19.929   1.050
  92 236 U   3.5  6.546    .45000E-03    .30000E-04    .18550E+01    .21500E+00    .44998E-03     .1588 21.7849   .1483  20.080   1.085
  92 237 U    .0  5.126    .14000E-01    .10000E-02    .18060E+01    .21500E+00    .14000E-01     .1804 21.2722   .1671  20.162   1.055
  92 238 U    .5  6.153    .35000E-02    .80000E-03    .20350E+01    .21500E+00    .34998E-02     .6255 21.8804   .4910  20.528   1.066
  93 237 Np  6.0  6.580    .60000E-03    .60000E-04    .16340E+01    .21500E+00    .60005E-03     .2052 17.3567   .1842  19.799    .877
  93 238 Np  2.5  5.488    .57000E-03    .30000E-04    .14280E+01    .21500E+00    .56998E-03     .1121 19.5401   .1062  19.640    .995
  93 239 Np  2.0  6.217    .41000E-03    .10000E-03    .17970E+01    .22300E+00    .41004E-03     .6052 20.9470   .4668  20.206   1.037
