# Level density parameters for EGSM & Gilbert and Cameron models (2I4,1x,a2,1x,f3.1,1x,F7.3,3E14.5,5f8.4)
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da    a-EGSM    -da   a_sys   a-G&C 
#                [MeV]    [keV]         [keV]         [MeV]         [1/MeV] [1/MeV] [1/MeV]
#--------------------------------------------------------------------------------------------------------
  35  82 Br 1.0   7.593    .10000E+00    .15000E-01    .22790E+01   .1379  7.3567   .1166  7.3930 11.8400
  36  79 Kr  .0   8.353    .25000E+00    .80000E-01    .40620E+01   .3920  8.1513   .2730  7.4230 12.8000
  36  81 Kr  .0   7.872    .28000E+00    .80000E-01    .36570E+01   .3718  8.4963   .2693  7.4520 13.2800
  36  84 Kr 4.0  10.520    .20000E+00    .10000E+00    .14000E+01   .5248  6.1035   .2967  6.5270   .0000
  36  85 Kr  .0   7.121    .40000E+01    .40000E+00    .82900E+00   .0899  6.1787   .0792  6.3840   .0000
  36  87 Kr  .0   5.515    .29000E+02    .15000E+01   -.10600E+00   .0481  5.2155   .0435  6.0370   .0000
  37  86 Rb 2.0   8.650    .17200E+00    .80000E-02    .16100E+00   .0348  6.0956   .0311  5.9400 10.4700
  37  88 Rb 1.0   6.082    .16300E+01    .15000E+00   -.39200E+00   .0729  5.6564   .0654  5.8100 10.4200
  38  85 Sr  .0   8.530    .32000E+00    .12000E+00    .22030E+01   .4352  7.7089   .2825  6.8500 12.0600
  38  87 Sr  .0   8.427    .26000E+01    .80000E+00    .18200E+00   .2703  5.9309   .1930  6.0390 11.1300
  38  88 Sr 4.0  11.113    .29000E+00    .80000E-01   -.13690E+01   .2235  5.4456   .1666  5.4210 10.0500
  38  89 Sr  .0   6.358    .23700E+02    .29000E+01   -.87400E+00   .0978  4.9938   .0830  5.6220 10.6700
  39  90 Y   .0   6.857    .37000E+01    .40000E+00   -.11630E+01   .0793  5.2438   .0704  5.2490 10.6600
  40  91 Zr  .0   7.194    .60000E+01    .14000E+01   -.10460E+01   .2030  5.7186   .1566  5.3960 10.4500
  40  92 Zr 2.0   8.635    .55000E+00    .10000E+00    .11500E+00   .1694  6.2793   .1379  6.0320 11.9900
  40  93 Zr  .0   6.733    .35000E+01    .80000E+00    .53400E+00   .2488  6.5354   .1897  6.3170 12.2900
  40  94 Zr 2.0   8.220    .30200E+00    .75000E-01    .14120E+01   .3061  7.2483   .2289  6.8400   .0000
