#           Level density parameters for the EGSM model
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da      a       -da   
#                [MeV]    [keV]         [keV]         [MeV]         [1/MeV] [1/MeV] [1/MeV]
#-----------------------------------------------------------------------------------------------------
  51 124 Sb  3.5  6.468   0.24000E-01   0.30000E-02   0.23400E+00  0.1565  9.0603  0.1363
  52 123 Te  0.0  6.929   0.13200E+00   0.15000E-01   0.16350E+01  0.1692 10.5868  0.1487
  52 124 Te  0.5  9.425   0.17000E-01   0.30000E-02   0.88900E+00  0.2302 10.2451  0.1909
  52 125 Te  0.0  6.576   0.19000E+00   0.20000E-01   0.77100E+00  0.1590 10.4474  0.1409
  52 126 Te  0.5  9.113   0.38000E-01   0.50000E-02  -0.16800E+00  0.1609  9.4803  0.1397
  52 127 Te  0.0  6.291   0.55000E+00   0.10000E+00  -0.48400E+00  0.2702  9.1389  0.2196
  52 129 Te  0.0  6.083   0.14600E+01   0.30000E+00  -0.21440E+01  0.2776  7.8238  0.2189
  52 131 Te  0.0  5.929   0.10400E+01   0.10000E+00  -0.41840E+01  0.1218  8.0184  0.1063
  53 128 I   2.5  6.826   0.15400E-01   0.50000E-03   0.10900E+00  0.0386  9.4873  0.0366
  53 130 I   3.5  6.500   0.13600E-01   0.30000E-03  -0.12770E+01  0.0258  9.4737  0.0255
  54 129 Xe  0.0  6.907   0.25000E+00   0.10000E+00   0.49700E+00  0.6774  9.4886  0.4297
  54 130 Xe  0.5  9.256   0.38000E-01   0.50000E-02  -0.37200E+00  0.1544  9.3062  0.1349
  54 131 Xe  0.0  6.605   0.23000E+00   0.60000E-01  -0.76700E+00  0.4096  9.8210  0.3076
  54 132 Xe  1.5  8.935   0.49000E-01   0.15000E-01  -0.17920E+01  0.3749  8.3790  0.2640
  54 133 Xe  0.0  6.439   0.75000E+00   0.23600E+00  -0.24700E+01  0.4526  8.1858  0.3155
  54 135 Xe  0.0  6.383   0.16000E+01   0.60000E+00  -0.46700E+01  0.4741  7.0817  0.3029
  54 137 Xe  0.0  4.026   0.13000E+02   0.60000E+01  -0.47590E+01  0.9177  7.1161  0.5295
  55 134 Cs  3.5  6.891   0.21000E-01   0.20000E-02  -0.15460E+01  0.1039  8.5863  0.0928
  55 135 Cs  4.0  8.762   0.16000E-01   0.30000E-02  -0.25810E+01  0.1803  8.0115  0.1463
  55 136 Cs  3.5  6.828   0.51000E-01   0.16000E-01  -0.36690E+01  0.3362  7.5238  0.2341
  56 131 Ba  0.0  7.493   0.58000E-01   0.10000E-01   0.13290E+01  0.2547 10.7630  0.2115
  56 133 Ba  0.0  7.189   0.11000E+00   0.35000E-01   0.33500E+00  0.5101 10.1638  0.3594
  56 135 Ba  0.0  6.972   0.37100E+00   0.36000E-01  -0.10620E+01  0.1226  8.7041  0.1084
  56 136 Ba  1.5  9.107   0.40000E-01   0.60000E-02  -0.20480E+01  0.1616  8.4136  0.1374
  56 137 Ba  0.0  6.906   0.12100E+01   0.11900E+00  -0.29350E+01  0.1006  7.2003  0.0889
  56 138 Ba  1.5  8.611   0.26000E+00   0.50000E-01  -0.38760E+01  0.1757  6.8533  0.1414
  56 139 Ba  0.0  4.723   0.18700E+02   0.29000E+01  -0.30170E+01  0.2077  6.1433  0.1704
  57 139 La  5.0  8.778   0.32000E-01   0.60000E-02  -0.29010E+01  0.1646  7.2798  0.1333
  57 140 La  3.5  5.161   0.22000E+00   0.40000E-01  -0.21450E+01  0.2366  7.5852  0.1909
  58 137 Ce  0.0  7.481   0.50000E-01   0.20000E-01   0.40000E-01  0.6881 10.7994  0.4403
  58 141 Ce  0.0  5.428   0.31000E+01   0.50000E+00  -0.17470E+01  0.2382  7.8418  0.1972
