#
# Data file of the   first-excited state energies(keV)(E2+) and
# parameters "beta" obtained from the  B(E2)up transition values.
# A parameter "beta" corresponds to  deformation parameter "beta2"
# in absolute value and in the lowest order on deformation.
# The data   extracted from data file  "raman_tableI.txt"
# of the paper by S.Raman, C.W.Nestor,Jr, P.Tikkanen
# [Atom.Data Nucl.Data Tabl. 78(2001)1;  Table 1 for even-even nuclei]
# FORMAT (I4,I4,f13.5,f10.4)
#
#  Z   A     E2+        beta
#
   2   4  27420.00000
  80 194    428.00000
  80 196    425.98000     .1155
  80 198    411.80249     .1065
  80 200    367.94400     .0982
  80 202    439.56200     .0826
  80 204    436.55200     .0686
  80 206   1068.54000
  82 182    888.30000
  82 184    701.50000
  82 186    662.40000
  82 188    723.90000
  82 190    773.80000
  82 192    853.60000
  82 194    965.35000
  82 196   1049.20000
  82 198   1063.50000
  82 200   1026.62000
  82 202    960.66000
  82 204    899.17100     .0412
  82 206    803.10000     .0322
  82 208   4085.40000     .0553
  82 210    799.70000     .0224
  82 212    804.90000
  82 214    836.00000
  84 192    262.00000
  84 194    318.60000
  84 196    463.12000
  84 198    605.00000
  84 200    665.90000
  84 202    677.30000
  84 204    684.34200
  84 206    700.66000
  84 208    686.52800
  84 210   1181.40000     .0138
  84 212    727.33000
  84 214    609.31600
  84 216    549.76000
  84 218    511.00000
  86 198    339.00000
  86 200    432.90000
  86 202    504.10000
  86 204    542.90000
  86 206    575.30000
  86 208    635.80000
  86 210    643.80000
  86 212   1273.80000
  86 214    694.70000
  86 216    461.90000
  86 218    324.22000
  86 220    240.98600     .1266
  86 222    186.21100     .1419
  88 206    474.30000
  88 208    520.20000
  88 210    603.30000
  88 212    629.30000
  88 214   1382.40000
  88 216    688.20000
  88 218    389.10000     .0950
  88 220    178.47000
  88 222    111.12000     .1920
  88 224     84.37300     .1790
  88 226     67.67000     .2022
  88 228     63.82300     .2170
  88 230     57.40000
  90 216   1478.00000
  90 218    689.60000
  90 220    373.30000
  90 222    183.30000     .1530
  90 224     98.10000
  90 226     72.20000     .2280
  90 228     57.75900     .2301
