#           Level density parameters for the EGSM model
#  Z  A  Sym Io   Bn       Do            dDo           Esh         +da      a       -da   
#                [MeV]    [keV]         [keV]         [MeV]        [1/MeV] [1/MeV] [1/MeV]
#----------------------------------------------------------------------------------------------------
  58 143 Ce  0.0  5.144   0.11000E+01   0.50000E+00  -0.35900E+00  1.0778  7.7415  0.6468 
  59 142 Pr  2.5  5.842   0.11000E+00   0.20000E-01  -0.10420E+01  0.2465  5.7394  0.1972 
  60 143 Nd  0.0  6.123   0.86000E+00   0.80000E-01  -0.94800E+00  0.1404  6.3124  0.1229 
  60 144 Nd  3.5  7.816   0.35000E-01   0.50000E-02  -0.24700E+00  0.2137  6.8739  0.1788 
  60 145 Nd  0.0  5.756   0.45000E+00   0.50000E-01   0.46400E+00  0.2002  7.9878  0.1738 
  60 146 Nd  3.5  7.565   0.17000E-01   0.30000E-02   0.97800E+00  0.3076  8.3262  0.2510 
  60 147 Nd  0.0  5.291   0.29000E+00   0.50000E-01   0.17350E+01  0.3692 10.0777  0.3048 
  60 148 Nd  2.5  7.333   0.35000E-02   0.17000E-02   0.20590E+01  1.2384 12.0945  0.7185 
  60 149 Nd  0.0  5.038   0.15500E+00   0.20000E-01   0.26680E+01  0.2960 12.3507  0.2554 
  60 151 Nd  0.0  5.334   0.16500E+00   0.15000E-01   0.24630E+01  0.1938 11.1270  0.1723 
  61 148 Pm  3.5  5.897   0.52000E-02   0.12000E-02   0.21760E+01  0.4320  9.6437  0.3347 
  62 145 Sm  0.0  6.757   0.67000E+00   0.60000E-01  -0.58700E+00  0.1181  5.7916  0.1040 
  62 148 Sm  3.5  8.142   0.51000E-02   0.50000E-03   0.14770E+01  0.1586  9.0913  0.1417 
  62 149 Sm  0.0  5.871   0.10000E+00   0.20000E-01   0.22860E+01  0.4185 10.5311  0.3368 
  62 150 Sm  3.5  7.985   0.21000E-02   0.30000E-03   0.25730E+01  0.2629 10.8787  0.2235 
  62 151 Sm  0.0  5.596   0.46000E-01   0.80000E-02   0.32440E+01  0.3992 13.0559  0.3292 
