# Level density parameters for EGSM, Gilbert & Cameron (EMPIRE) and GSM (RIPL-2) models (2I4,1x,a2,f4.1,1x,F7.3,3E14.5,5f8.4,I4,1x,5(f8.3))
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da    a-EGSM    -da   a_sys   a-G&C   Nc     om2    DelO     aas     aerr   shift 
#                [MeV]    [keV]         [keV]         [MeV]        [1/MeV] [1/MeV] [1/MeV] [1/MeV] [1/MeV]       [MeV]   [MeV]  [1/MeV]  [1/MeV] [MeV] 
#-----------------------------------------------------------------------------------------------------------------------------------------------------
  22  51 Ti  .0   6.372    .24900E+02    .16000E+01    .45200E+00   .0503  4.6946   .0459  4.1570  7.2100  15    1.301   1.680   3.601   1.099   -.776
  23  51 V  6.0  11.050    .20000E+01    .10000E+00    .21200E+00   .0328  3.6983   .0299  3.7580  7.0100  30    1.270   1.680   3.517    .175    .287
  23  52 V  3.5   7.311    .40000E+01    .60000E+00    .18300E+00   .1089  3.8915   .0922  3.8300  6.8400  30    1.240   1.664   3.643    .149   -.193
  24  51 Cr  .0   9.262    .12500E+02    .12000E+01   -.11800E+00   .0668  4.1446   .0592  3.8430  6.6500  30    1.108   1.680   3.423    .076    .293
  24  53 Cr  .0   7.939    .32000E+02    .35000E+01   -.29900E+00   .0784  3.9564   .0695  3.9270  6.9600  30    1.135   1.648   3.031    .086   -.063
  24  54 Cr 1.5   9.718    .67000E+01    .60000E+00    .46600E+00   .0656  4.1874   .0583  4.2770  7.1900  30     .835   1.633   3.122    .067    .002
  24  55 Cr  .0   6.246    .50000E+02    .80000E+01    .11410E+01   .1280  4.3548   .1068  4.6580  7.6700  30     .922   1.618   2.995    .134   -.138
  25  56 Mn 2.5   7.271    .23000E+01    .40000E+00    .10900E+00   .1325  4.4578   .1095  4.4580  7.4200  30     .928   1.604   3.808    .141    .055
  26  55 Fe  .0   9.298    .20500E+02    .14000E+01   -.20400E+01   .0438  3.7500   .0400  3.5980  6.5000  30    2.074   3.155    .000    .000    .000
  26  57 Fe  .0   7.646    .25400E+02    .22000E+01   -.51400E+00   .0628  4.2807   .0569  4.2450  7.4700  30     .829   1.589   3.492    .068    .064
  26  58 Fe  .5  10.044    .70500E+01    .70000E+00    .20200E+00   .0728  4.4885   .0649  4.6040  7.5500  30     .811   1.576   3.587    .104    .290
  26  59 Fe  .0   6.580    .21600E+02    .26000E+01    .95000E+00   .0972  4.8977   .0842  5.0230  8.1300  30     .818   1.562   3.628    .197    .123
  27  60 Co 3.5   7.491    .14500E+01    .15000E+00    .10400E+00   .0763  4.6527   .0677  4.6530  8.0100  30    1.078   1.549   4.359    .124    .252
  28  59 Ni  .0   8.999    .13400E+02    .90000E+00   -.21720E+01   .0457  4.1557   .0414  3.7600  7.1400  30    1.394   1.562   3.994    .067    .850
  28  60 Ni 1.5  11.388    .20000E+01    .70000E+00   -.14120E+01   .2837  4.3443   .1924  4.1250  7.4700  30    1.333   1.549   3.897    .256   1.089
