# Experimental deformations
#  Z   A El   beta2    Error
#                         
#---------------------------
  74 182 W    0.2508  0.0024
  74 184 W    0.2362  0.0041
  74 186 W    0.2257  0.0039
  76 172 Os   0.2250  0.0080
  76 174 Os   0.2660  0.0170
  76 180 Os   0.2260  0.0250
  76 182 Os   0.2340  0.0110
  76 184 Os   0.2130  0.0050
  76 186 Os   0.2000  0.0034
  76 188 Os   0.1862  0.0018
  76 190 Os   0.1775  0.0023
  76 192 Os   0.1667  0.0012
  78 176 Pt   0.1900  0.0100
  78 180 Pt   0.2560  0.0130
  78 184 Pt   0.2240  0.0080
  78 186 Pt   0.1979  0.0043
  78 188 Pt   0.1860  0.0170
  78 190 Pt   0.1490  0.0090
  78 192 Pt   0.1532  0.0016
  78 194 Pt   0.1426  0.0010
  78 196 Pt   0.1296  0.0008
  78 198 Pt   0.1141  0.0006
  80 184 Hg   0.1600  0.0190
  80 186 Hg   0.1320  0.0110
  80 196 Hg   0.1155  0.0025
  80 198 Hg   0.1065  0.0006
  80 200 Hg   0.0982  0.0006
  80 202 Hg   0.0826  0.0007
  80 204 Hg   0.0686  0.0006
  82 204 Pb   0.0412  0.0005
  82 206 Pb   0.0322  0.0003
  82 208 Pb   0.0553  0.0028
  82 210 Pb   0.0224  0.0034
  84 210 Po   0.0138  0.0014
  86 220 Rn   0.1266  0.0024
  86 222 Rn   0.1419  0.0048
  88 218 Ra   0.0950  0.0090
  88 222 Ra   0.1920  0.0080
  88 224 Ra   0.1790  0.0034
  88 226 Ra   0.2022  0.0027
  88 228 Ra   0.2170  0.0050
  90 222 Th   0.1530  0.0080
  90 226 Th   0.2280  0.0070
  90 228 Th   0.2301  0.0039
  90 230 Th   0.2441  0.0015
  90 232 Th   0.2608  0.0014
  90 234 Th   0.2410  0.0110
  92 230 U    0.2620  0.0160
  92 232 U    0.2640  0.0130
  92 234 U    0.2718  0.0026
  92 236 U    0.2821  0.0018
  92 238 U    0.2863  0.0024
  94 238 Pu   0.2861  0.0019
  94 240 Pu   0.2891  0.0033
  94 242 Pu   0.2917  0.0017
  94 244 Pu   0.2931  0.0017
  96 240 Cm   0.2970  0.0060
  96 244 Cm   0.2972  0.0017
  96 246 Cm   0.2983  0.0019
  96 248 Cm   0.2972  0.0019
  98 250 Cf   0.2990  0.0150
  98 252 Cf   0.3040  0.0100
